ID,Subject,trial_number,1st choice,2nd choice,3rd choice,4th choice,5th choice,6th choice,7th choice,8th choice,9th choice,condition,first_error_position,return_to_arm,Lag_from_last_choice,adjacent_arms,total_mistakes,time_delay,return_delay,time_fe_after,means,time_fe_before,means_of_FC
145,Teodor,5,869.71624,879.21624,887.7829,892.21623,898.26623,904.18289,911.43289,916.19955,#N/A,forced,7,1,6,#N/A,2,41.71665,41.71665,4.76666,6.640472857,7.25,5.68333
146,Teodor,6,1022.3995,1027.68283,1039.49949,1044.18282,1051.23282,1057.13281,1063.53281,#N/A,#N/A,forced,9,#N/A,#N/A,1,0,#N/A,#N/A,#N/A,6.855551667,#N/A,6.00833
147,Tofu,1,171.18328,178.69994,190.81661,194.19994,198.84994,206.64994,210.83327,216.29993,220.53326,forced,5,2,3,5,1,27.66666,20.15,7.8,6.1687475,4.65,4.952775
148,Tofu,2,330.63323,336.1499,343.51656,346.56656,350.38322,354.44989,358.28322,364.48322,368.58322,forced,6,1,5,5,1,23.81666,23.81666,3.83333,4.74374875,4.06667,4.177776667
149,Tofu,3,466.43319,474.51652,482.33318,485.69985,488.66651,496.38318,500.08318,505.04984,508.84984,forced,3,1,2,5,2,15.89999,15.89999,3.36667,5.30208125,7.81666,4.419443333
150,Tofu,4,598.49981,600.84981,605.46648,609.66648,612.84981,617.49981,621.73314,626.03314,631.1498,self-ordered,9,#N/A,#N/A,7,0,32.64999,#N/A,#N/A,4.08124875,#N/A,4.280553333
151,Tofu,5,723.14977,725.68311,730.23311,734.2331,737.5331,743.6831,747.49977,751.3331,756.8831,self-ordered,9,#N/A,#N/A,7,0,33.73333,#N/A,#N/A,4.21666625,#N/A,4.441665
152,Tofu,6,847.3164,851.99973,856.7664,861.54973,866.0164,869.79973,875.73306,880.83306,#N/A,self-ordered,5,3,2,3,2,18.7,9.25,3.78333,4.788094286,4.46667,4.813332
153,Twix,1,306.56644,312.59976,319.71643,326.58309,333.54975,343.01641,350.48307,360.04973,369.51639,self-ordered,6,1,5,1,2,36.44997,36.44997,7.46666,7.86874375,9.46666,8.299993333
154,Twix,2,461.88299,467.28298,473.69964,479.78297,486.2663,493.28296,499.69962,506.99962,#N/A,self-ordered,7,2,5,2,2,37.81663,32.41664,7.3,6.445232857,6.41666,6.659996
155,Twix,3,606.08288,611.88287,617.13287,622.63287,629.98286,636.86619,643.84952,652.11618,658.5995,self-ordered,4,1,3,2,3,16.54999,16.54999,7.34999,6.5645775,5.5,6.911105
156,Twix,4,784.43274,790.74941,798.0994,803.31606,809.51606,816.81605,823.13271,830.24938,836.34937,forced,3,1,2,2,1,13.66666,13.66666,5.21666,6.48957875,7.34999,6.374995
157,Twix,5,927.4493,936.48263,942.84929,948.39929,955.33262,963.19928,970.41594,977.11593,#N/A,forced,5,1,4,2,2,27.88332,27.88332,7.86666,7.095232857,6.93333,6.853328
158,Twix,6,1076.98252,1083.26585,1090.83251,1094.31584,1102.04917,1109.79917,1116.76583,1124.34916,1130.38248,forced,3,1,2,2,2,13.84999,13.84999,3.48333,6.674995,7.56666,6.591661667
159,Vivi,1,344.1,349.36667,353.55,364.46667,373.73333,380.68333,388.96667,401.53333,493.66667,self-ordered,6,2,4,1,2,36.58333,31.31666,8.28334,18.69583375,6.95,23.35277833
160,Vivi,2,497.61667,505.75,511.56667,517.65,524.46667,536.66667,556.91667,#N/A,#N/A,self-ordered,7,2,5,1,2,59.3,51.16667,#N/A,9.883333333,20.25,11.3375
161,Vivi,4,889.36667,900.66667,911.8,920.33333,929.06667,938.26667,958.98333,980.78333,#N/A,forced,4,1,3,1,2,30.96666,30.96666,8.73334,13.05952286,8.53333,13.796666
162,Vivi,5,1090,1102.73333,1111.88333,1123.21667,1129.86667,1137.56667,1145.51667,1151.06667,#N/A,forced,9,#N/A,#N/A,2,0,#N/A,#N/A,#N/A,8.72381,#N/A,7.836668
163,Zira,1,1187.26606,1202.09938,1212.84938,1218.74937,1224.56604,1231.76603,1237.69936,1243.49936,1249.49936,forced,6,1,5,1,1,44.49997,44.49997,5.93333,7.7791625,7.19999,6.10833
164,Zira,2,1341.01598,1349.19931,1359.43263,1363.51597,1368.71596,1374.03263,1378.99929,1388.61595,1394.04928,forced,7,1,6,2,2,37.98331,37.98331,9.61666,6.6291625,4.96666,5.769441667
165,Zira,3,1488.44924,1495.68257,1508.69922,1516.53255,1521.44922,1526.11588,1530.96588,1535.99921,1541.59921,forced,4,2,2,4,1,28.08331,20.84998,4.91667,6.64374625,7.83333,5.483331667
166,Zira,4,1637.54916,1642.73249,1647.53249,1653.98248,1659.93248,1664.01581,1675.59914,1679.4658,1685.54913,self-ordered,7,2,5,3,1,38.04998,32.86665,3.86666,5.99999625,11.58333,6.336106667
167,Zira,5,1778.53242,1781.99908,1788.78241,1793.73241,1799.78241,1806.79907,1811.86574,1819.44907,#N/A,self-ordered,8,1,7,4,1,40.91665,40.91665,#N/A,5.845235714,7.58333,6.133332
168,Zira,6,1924.19901,1928.86568,1933.46567,1938.61567,1943.71567,1949.249,1954.799,1960.26566,1965.86566,self-ordered,9,#N/A,#N/A,7,0,41.66665,0,#N/A,5.20833125,#N/A,5.399998333
