session,subj,CDL_name,sex,breed,neutering_status,birth_date,test_date,block,condition,trial_num,Age,first_arm,sec_arm,third_arm,fourth_arm,fifth_arm,sixth_arm,sevth_arm,eigth_arm,first_error_position,return_to_arm,Lag_from_last_choice,adjacent_arms,total_mistakes
1,subj.10,Twix,m,Mix (Labrador Retriever),yes,01.01.2010,24.01.2023,2,forced,3,156,2,7,8,7,6,3,2,1,4,2,2,2,2
1,subj.11,Blue5,f,Australian Shepherd,yes,15.09.2013,23.01.2023,1,self-ordered,1,112,2,5,4,6,5,3,2,5,5,2,3,1,3
1,subj.11,Blue5,f,Australian Shepherd,yes,15.09.2013,23.01.2023,1,self-ordered,2,112,5,6,5,3,2,1,8,7,3,1,2,4,1
1,subj.11,Blue5,f,Australian Shepherd,yes,15.09.2013,23.01.2023,1,self-ordered,3,112,7,5,3,2,1,8,7,5,7,1,6,4,2
1,subj.11,Blue5,f,Australian Shepherd,yes,15.09.2013,23.01.2023,2,forced,1,112,7,6,3,5,3,2,1,8,5,3,2,3,1
1,subj.11,Blue5,f,Australian Shepherd,yes,15.09.2013,23.01.2023,2,forced,2,112,1,8,6,5,3,2,1,7,7,1,6,2,1
1,subj.11,Blue5,f,Australian Shepherd,yes,15.09.2013,23.01.2023,2,forced,3,112,5,2,7,5,3,2,8,7,4,1,3,1,3
1,subj.12,Oscar2,m,Ilky Moon Havaneser,yes,24.11.2020,25.01.2023,1,self-ordered,1,26,4,3,1,2,8,7,6,5,#N/A,#N/A,#N/A,3,0
1,subj.12,Oscar2,m,Ilky Moon Havaneser,yes,24.11.2020,25.01.2023,1,self-ordered,3,26,6,5,8,7,1,2,7,1,7,4,3,1,2
1,subj.12,Oscar2,m,Ilky Moon Havaneser,yes,24.11.2020,25.01.2023,2,forced,1,26,6,3,1,2,4,7,1,0,7,3,4,1,1
1,subj.12,Oscar2,m,Ilky Moon Havaneser,yes,24.11.2020,25.01.2023,2,forced,2,26,4,8,7,1,2,6,5,1,8,4,4,1,1
1,subj.12,Oscar2,m,Ilky Moon Havaneser,yes,24.11.2020,25.01.2023,2,forced,3,26,5,1,8,7,3,2,1,6,7,2,5,2,1
1,subj.14,Sepp,m,Beagle,yes,11.06.2012,21.01.2023,1,self-ordered,1,127,1,2,3,1,2,4,5,8,4,1,3,2,2
1,subj.14,Sepp,m,Beagle,yes,11.06.2012,21.01.2023,1,self-ordered,2,127,2,5,7,8,2,3,5,7,5,1,4,1,3
1,subj.14,Sepp,m,Beagle,yes,11.06.2012,21.01.2023,1,self-ordered,3,127,4,2,3,2,1,7,5,4,4,2,2,2,2
1,subj.14,Sepp,m,Beagle,yes,11.06.2012,21.01.2023,2,forced,1,127,4,2,6,7,8,1,7,6,7,4,3,3,2
