"","CDL_name","sex","Number_arms","session","trial_num","condition","trial.id","choice.nr.within.trial","choice.where","choice.correct","last.choice","previous.correct","any.error.earlier","cup.id","choice.id","lag.from.last.choice","number.cups","error.ny","Age"
"77","Loki7","m",8,1,3,"self-ordered",3,8,1,1,6,"no","1",6,21,2,6,0,11
"78","Loki7","m",8,1,3,"self-ordered",3,8,1,1,7,"no","1",7,21,1,6,0,11
"79","Loki7","m",8,1,3,"self-ordered",3,8,1,1,3,"no","1",8,21,5,6,0,11
"80","Loki7","m",8,1,1,"forced",4,2,7,1,1,"yes","0",2,22,1,1,0,11
"81","Loki7","m",8,1,1,"forced",4,3,5,1,1,"yes","0",2,23,2,2,0,11
"82","Loki7","m",8,1,1,"forced",4,3,5,1,2,"yes","0",7,23,1,2,0,11
"83","Loki7","m",8,1,1,"forced",4,4,3,1,1,"yes","0",2,24,3,3,0,11
"84","Loki7","m",8,1,1,"forced",4,4,3,1,3,"yes","0",5,24,1,3,0,11
"85","Loki7","m",8,1,1,"forced",4,4,3,1,2,"yes","0",7,24,2,3,0,11
"86","Loki7","m",8,1,1,"forced",4,5,2,0,1,"yes","0",2,25,4,4,1,11
"87","Loki7","m",8,1,1,"forced",4,5,2,0,4,"yes","0",3,25,1,4,0,11
"88","Loki7","m",8,1,1,"forced",4,5,2,0,3,"yes","0",5,25,2,4,0,11
"89","Loki7","m",8,1,1,"forced",4,5,2,0,2,"yes","0",7,25,3,4,0,11
"90","Loki7","m",8,1,1,"forced",4,6,8,1,5,"no","1",2,26,1,4,0,11
"91","Loki7","m",8,1,1,"forced",4,6,8,1,4,"no","1",3,26,2,4,0,11
"92","Loki7","m",8,1,1,"forced",4,6,8,1,3,"no","1",5,26,3,4,0,11
"93","Loki7","m",8,1,1,"forced",4,6,8,1,2,"no","1",7,26,4,4,0,11
"94","Loki7","m",8,1,1,"forced",4,7,6,1,5,"yes","1",2,27,2,5,0,11
"95","Loki7","m",8,1,1,"forced",4,7,6,1,4,"yes","1",3,27,3,5,0,11
"96","Loki7","m",8,1,1,"forced",4,7,6,1,3,"yes","1",5,27,4,5,0,11
"97","Loki7","m",8,1,1,"forced",4,7,6,1,2,"yes","1",7,27,5,5,0,11
"98","Loki7","m",8,1,1,"forced",4,7,6,1,6,"yes","1",8,27,1,5,0,11
"99","Loki7","m",8,1,1,"forced",4,8,5,0,5,"yes","1",2,28,3,6,0,11
"100","Loki7","m",8,1,1,"forced",4,8,5,0,4,"yes","1",3,28,4,6,0,11
"101","Loki7","m",8,1,1,"forced",4,8,5,0,3,"yes","1",5,28,5,6,1,11
"102","Loki7","m",8,1,1,"forced",4,8,5,0,7,"yes","1",6,28,1,6,0,11
"103","Loki7","m",8,1,1,"forced",4,8,5,0,2,"yes","1",7,28,6,6,0,11
"104","Loki7","m",8,1,1,"forced",4,8,5,0,6,"yes","1",8,28,2,6,0,11
"105","Loki7","m",8,1,2,"forced",5,2,8,1,1,"yes","0",3,29,1,1,0,11
"106","Loki7","m",8,1,2,"forced",5,3,6,1,1,"yes","0",3,30,2,2,0,11
"107","Loki7","m",8,1,2,"forced",5,3,6,1,2,"yes","0",8,30,1,2,0,11
"108","Loki7","m",8,1,2,"forced",5,4,4,1,1,"yes","0",3,31,3,3,0,11
"109","Loki7","m",8,1,2,"forced",5,4,4,1,3,"yes","0",6,31,1,3,0,11
"110","Loki7","m",8,1,2,"forced",5,4,4,1,2,"yes","0",8,31,2,3,0,11
"111","Loki7","m",8,1,2,"forced",5,5,3,0,1,"yes","0",3,32,4,4,1,11
"112","Loki7","m",8,1,2,"forced",5,5,3,0,4,"yes","0",4,32,1,4,0,11
"113","Loki7","m",8,1,2,"forced",5,5,3,0,3,"yes","0",6,32,2,4,0,11
"114","Loki7","m",8,1,2,"forced",5,5,3,0,2,"yes","0",8,32,3,4,0,11
"115","Loki7","m",8,1,2,"forced",5,6,1,1,5,"no","1",3,33,1,4,0,11
"116","Loki7","m",8,1,2,"forced",5,6,1,1,4,"no","1",4,33,2,4,0,11
"117","Loki7","m",8,1,2,"forced",5,6,1,1,3,"no","1",6,33,3,4,0,11
"118","Loki7","m",8,1,2,"forced",5,6,1,1,2,"no","1",8,33,4,4,0,11
"119","Loki7","m",8,1,2,"forced",5,7,5,1,6,"yes","1",1,34,1,5,0,11
"120","Loki7","m",8,1,2,"forced",5,7,5,1,5,"yes","1",3,34,2,5,0,11
"121","Loki7","m",8,1,2,"forced",5,7,5,1,4,"yes","1",4,34,3,5,0,11
"122","Loki7","m",8,1,2,"forced",5,7,5,1,3,"yes","1",6,34,4,5,0,11
"123","Loki7","m",8,1,2,"forced",5,7,5,1,2,"yes","1",8,34,5,5,0,11
"124","Loki7","m",8,1,2,"forced",5,8,6,0,6,"yes","1",1,35,2,6,0,11
"125","Loki7","m",8,1,2,"forced",5,8,6,0,5,"yes","1",3,35,3,6,0,11
"126","Loki7","m",8,1,2,"forced",5,8,6,0,4,"yes","1",4,35,4,6,0,11
"127","Loki7","m",8,1,2,"forced",5,8,6,0,7,"yes","1",5,35,1,6,0,11
"128","Loki7","m",8,1,2,"forced",5,8,6,0,3,"yes","1",6,35,5,6,1,11
"129","Loki7","m",8,1,2,"forced",5,8,6,0,2,"yes","1",8,35,6,6,0,11
"130","Loki7","m",8,1,3,"forced",6,2,6,1,1,"yes","0",1,36,1,1,0,11
"131","Loki7","m",8,1,3,"forced",6,3,5,1,1,"yes","0",1,37,2,2,0,11
"132","Loki7","m",8,1,3,"forced",6,3,5,1,2,"yes","0",6,37,1,2,0,11
"133","Loki7","m",8,1,3,"forced",6,4,4,1,1,"yes","0",1,38,3,3,0,11
"134","Loki7","m",8,1,3,"forced",6,4,4,1,3,"yes","0",5,38,1,3,0,11
"135","Loki7","m",8,1,3,"forced",6,4,4,1,2,"yes","0",6,38,2,3,0,11
"136","Loki7","m",8,1,3,"forced",6,5,3,1,1,"yes","0",1,39,4,4,0,11
"137","Loki7","m",8,1,3,"forced",6,5,3,1,4,"yes","0",4,39,1,4,0,11
"138","Loki7","m",8,1,3,"forced",6,5,3,1,3,"yes","0",5,39,2,4,0,11
"139","Loki7","m",8,1,3,"forced",6,5,3,1,2,"yes","0",6,39,3,4,0,11
"140","Loki7","m",8,1,3,"forced",6,6,2,1,1,"yes","0",1,40,5,5,0,11
"141","Loki7","m",8,1,3,"forced",6,6,2,1,5,"yes","0",3,40,1,5,0,11
"142","Loki7","m",8,1,3,"forced",6,6,2,1,4,"yes","0",4,40,2,5,0,11
"143","Loki7","m",8,1,3,"forced",6,6,2,1,3,"yes","0",5,40,3,5,0,11
"144","Loki7","m",8,1,3,"forced",6,6,2,1,2,"yes","0",6,40,4,5,0,11
"145","Loki7","m",8,1,3,"forced",6,7,8,1,1,"yes","0",1,41,6,6,0,11
"146","Loki7","m",8,1,3,"forced",6,7,8,1,6,"yes","0",2,41,1,6,0,11
"147","Loki7","m",8,1,3,"forced",6,7,8,1,5,"yes","0",3,41,2,6,0,11
"148","Loki7","m",8,1,3,"forced",6,7,8,1,4,"yes","0",4,41,3,6,0,11
"149","Loki7","m",8,1,3,"forced",6,7,8,1,3,"yes","0",5,41,4,6,0,11
"150","Loki7","m",8,1,3,"forced",6,7,8,1,2,"yes","0",6,41,5,6,0,11
"151","Loki7","m",8,1,3,"forced",6,8,7,1,1,"yes","0",1,42,7,7,0,11
"152","Loki7","m",8,1,3,"forced",6,8,7,1,6,"yes","0",2,42,2,7,0,11
"153","Loki7","m",8,1,3,"forced",6,8,7,1,5,"yes","0",3,42,3,7,0,11
"154","Loki7","m",8,1,3,"forced",6,8,7,1,4,"yes","0",4,42,4,7,0,11
"155","Loki7","m",8,1,3,"forced",6,8,7,1,3,"yes","0",5,42,5,7,0,11
"156","Loki7","m",8,1,3,"forced",6,8,7,1,2,"yes","0",6,42,6,7,0,11
"157","Loki7","m",8,1,3,"forced",6,8,7,1,7,"yes","0",8,42,1,7,0,11
"158","Moon2","f",8,1,1,"self-ordered",7,2,7,1,1,"yes","0",1,43,1,1,0,14
"159","Moon2","f",8,1,1,"self-ordered",7,3,6,1,1,"yes","0",1,44,2,2,0,14
"160","Moon2","f",8,1,1,"self-ordered",7,3,6,1,2,"yes","0",7,44,1,2,0,14
"161","Moon2","f",8,1,1,"self-ordered",7,4,3,1,1,"yes","0",1,45,3,3,0,14
"162","Moon2","f",8,1,1,"self-ordered",7,4,3,1,3,"yes","0",6,45,1,3,0,14
"163","Moon2","f",8,1,1,"self-ordered",7,4,3,1,2,"yes","0",7,45,2,3,0,14
