subj,CDL_name,sex,breed,neutering_status,birth_date,test_date,age,block,condition,trial_num,first_arm_,second_arm_,first_arm,sec_arm,third_arm,fourth_arm,fifth_arm,sixth_arm,sevth_arm,eigth_arm
subj.19,Mika2,f,Whippet,yes,07/01/2014,28/01/2023,108,1,forced,1,,,4,2,5,2,7,5,3,5
subj.19,Mika2,f,Whippet,yes,07/01/2014,28/01/2023,108,1,forced,2,,,1,7,5,3,6,1,4,7
subj.19,Mika2,f,Whippet,yes,07/01/2014,28/01/2023,108,1,forced,3,,,6,3,6,8,3,5,6,3
subj.19,Mika2,f,Whippet,yes,07/01/2014,28/01/2023,108,2,self-ordered,1,,,6,1,8,6,1,4,7,1
subj.19,Mika2,f,Whippet,yes,07/01/2014,28/01/2023,108,2,self-ordered,2,,,6,1,3,7,5,8,1,3
subj.19,Mika2,f,Whippet,yes,07/01/2014,28/01/2023,108,2,self-ordered,3,,,1,7,6,8,2,1,7,6
subj.20,Pinky2,f,Whippet,nodata,31/03/2017,28/01/2023,69,1,self-ordered,1,,,3,5,3,7,5,1,3,4
subj.20,Pinky2,f,Whippet,nodata,31/03/2017,28/01/2023,69,1,self-ordered,2,,,2,7,5,7,5,7,8,2
subj.20,Pinky2,f,Whippet,nodata,31/03/2017,28/01/2023,69,1,self-ordered,3,,,7,1,3,1,7,1,2,5
subj.20,Pinky2,f,Whippet,nodata,31/03/2017,28/01/2023,69,2,forced,1,,,2,8,3,4,6,7,1,2
subj.20,Pinky2,f,Whippet,nodata,31/03/2017,28/01/2023,69,2,forced,2,,,4,1,3,5,7,1,3,8
subj.20,Pinky2,f,Whipster,nodata,31/03/2017,28/01/2023,69,2,forced,3,,,7,3,2,4,6,1,3,5
subj.21,Vivi,f,Mix(Labrador),nodata,12/04/2016,30/01/2023,81,1,self-ordered,2,,,2,8,6,5,7,3,1,2
subj.21,Vivi,f,Mix(Labrador),nodata,12/04/2016,30/01/2023,81,1,self-ordered,3,,,6,8,7,1,5,3,5,
subj.21,Vivi,f,Mix(Labrador),nodata,12/04/2016,30/01/2023,81,2,forced,1,,,2,1,5,6,8,7,1,4
subj.21,Vivi,f,Mix(Labrador),nodata,12/04/2016,30/01/2023,81,2,forced,2,,,8,6,2,5,3,6,1,7
subj.21,Vivi,f,Mix(Labrador),nodata,12/04/2016,30/01/2023,81,2,forced,3,,,5,3,7,6,3,4,2,8
subj.22,Hero,m,Whippet,yes,06/07/2017,31/01/2023,66,1,self-ordered,1,,,2,8,1,2,3,4,5,7
subj.22,Hero,m,Whippet,yes,06/07/2017,31/01/2023,66,1,self-ordered,2,,,2,3,4,5,6,7,8,1
subj.22,Hero,m,Whippet,yes,06/07/2017,31/01/2023,66,1,self-ordered,3,,,3,4,5,6,8,1,2,3
subj.22,Hero,m,Whippet,yes,06/07/2017,31/01/2023,66,2,forced,1,,,4,2,6,7,8,1,2,3
subj.22,Hero,m,Whippet,yes,06/07/2017,31/01/2023,66,2,forced,2,,,5,1,5,6,7,8,2,3
subj.22,Hero,m,Whippet,yes,06/07/2017,31/01/2023,66,2,forced,3,,,3,7,4,5,6,8,1,2
subj.23,Nala13,f,ShepherdMix,no,01/05/2020,01/02/2023,33,1,self-ordered,1,,,2,3,1,8,6,3,1,5
subj.23,Nala13,f,ShepherdMix,no,01/05/2020,01/02/2023,33,1,self-ordered,2,,,4,3,5,3,8,7,6,5
subj.23,Nala13,f,ShepherdMix,no,01/05/2020,01/02/2023,33,1,self-ordered,3,,,6,5,3,1,7,6,5,3
subj.23,Nala13,f,ShepherdMix,no,01/05/2020,01/02/2023,33,2,forced,1,,,4,7,2,1,6,5,4,3
subj.23,Nala13,f,ShepherdMix,no,01/05/2020,01/02/2023,33,2,forced,2,,,6,2,7,6,5,4,3,2
subj.23,Nala13,f,ShepherdMix,no,01/05/2020,01/02/2023,33,2,forced,3,,,3,5,2,1,8,7,6,5
subj.24,Robby,m,Jagdhundmischling,yes,01/09/2019,01/02/2023,41,1,self-ordered,1,,,5,6,5,4,2,1,8,7
subj.24,Robby,m,Jagdhundmischling,yes,01/09/2019,01/02/2023,41,1,self-ordered,2,,,5,6,5,4,3,2,1,8
subj.24,Robby,m,Jagdhundmischling,yes,01/09/2019,01/02/2023,41,1,self-ordered,3,,,5,6,4,3,2,1,8,7
subj.24,Robby,m,Jagdhundmischling,yes,01/09/2019,01/02/2023,41,2,forced,1,,,8,2,6,5,4,3,2,1
subj.24,Robby,m,Jagdhundmischling,yes,01/09/2019,01/02/2023,41,2,forced,2,,,6,3,8,7,5,4,2,1
subj.24,Robby,m,Jagdhundmischling,yes,01/09/2019,01/02/2023,41,2,forced,3,,,5,1,7,6,4,3,2,5
subj.25,Lenny4,m,Podenco,yes,14/06/2019,06/02/2023,43,1,self-ordered,1,,,1,2,1,2,7,5,3,4
subj.25,Lenny4,m,Podenco,yes,14/06/2019,06/02/2023,43,1,self-ordered,2,,,2,1,5,3,2,1,5,3
subj.25,Lenny4,m,Podenco,yes,14/06/2019,06/02/2023,43,1,self-ordered,3,,,1,2,5,3,2,7,5,2
subj.25,Lenny4,m,Podenco,yes,14/06/2019,06/02/2023,43,2,forced,1,,,6,2,1,7,3,1,2,3
subj.25,Lenny4,m,Podenco,yes,14/06/2019,06/02/2023,43,2,forced,2,,,1,7,3,2,5,3,2,7
subj.25,Lenny4,m,Podenco,yes,14/06/2019,06/02/2023,43,2,forced,3,,,8,5,2,7,5,2,7,5
subj.26,Gandalf,m,Podenco,yes,15/07/2014,06/02/2023,102,1,self-ordered,1,,,2,3,7,4,1,3,6,8
subj.26,Gandalf,m,Podenco,yes,15/07/2014,06/02/2023,102,1,self-ordered,2,,,2,3,4,6,7,8,3,5
subj.26,Gandalf,m,Podenco,yes,15/07/2014,06/02/2023,102,1,self-ordered,3,,,1,2,3,5,8,7,6,1
subj.26,Gandalf,m,Podenco,yes,15/07/2014,06/02/2023,102,2,forced,1,,,4,1,7,2,3,4,6,8
