subj,CDL_name,sex,breed,neutering_status,birth_date,test_date,block,condition,trial_num,first_arm_,second_arm_,first_arm,sec_arm,third_arm,fourth_arm,fifth_arm,sixth_arm,sevth_arm,eigth_arm
subj.21,Vivi,f,Mix(Labrador),,12.04.2023,,1,self-ordered,1,,,1,2,8,6,4,2,1,7
subj.21,Vivi,f,Mix(Labrador),,12.04.2023,,1,self-ordered,2,,,4,5,3,2,8,6,5,3
subj.21,Vivi,f,Mix(Labrador),,12.04.2023,,2,forced,1,,,7,2,1,7,8,5,1,3
subj.21,Vivi,f,Mix(Labrador),,12.04.2023,,2,forced,2,,,4,8,6,7,5,3,2,1
subj.04,Ludwig2,m,AmericanStaffordshireTerrier,no,05.07.2018,,1,forced,1,,,3,7,2,3,4,5,8,7
subj.04,Ludwig2,m,AmericanStaffordshireTerrier,no,05.07.2018,,1,forced,2,,,5,2,1,2,3,4,6,1
subj.04,Ludwig2,m,AmericanStaffordshireTerrier,no,05.07.2018,,1,forced,3,,,8,6,5,3,4,1,4,5
subj.04,Ludwig2,m,AmericanStaffordshireTerrier,no,05.07.2018,,2,self-ordered,1,,,3,2,4,5,7,8,1,2
subj.04,Ludwig2,m,AmericanStaffordshireTerrier,no,05.07.2018,,2,self-ordered,2,,,5,6,8,2,4,7,1,3
subj.04,Ludwig2,m,AmericanStaffordshireTerrier,no,05.07.2018,,2,self-ordered,3,,,6,7,2,4,5,8,3,6
subj.03,Filou9,m,Mix,no,02.06.2021,,1,self-ordered,1,,,2,1,7,6,5,4,3,2
subj.03,Filou9,m,Mix,no,02.06.2021,,1,self-ordered,2,,,5,6,1,8,2,3,4,5
subj.03,Filou9,m,Mix,no,02.06.2021,,1,self-ordered,3,,,2,3,4,5,6,7,8,1
subj.03,Filou9,m,Mix,no,02.06.2021,,2,forced,1,,,5,8,2,1,3,4,5,6
subj.03,Filou9,m,Mix,no,02.06.2021,,2,forced,2,,,6,2,4,5,7,8,1,3
subj.03,Filou9,m,Mix,no,02.06.2021,,2,forced,3,,,1,7,2,3,4,5,6,7
subj.16,Chomsky,m,Rottweiler,yes,17.12.2015,,1,self-ordered,1,,,6,5,2,1,7,6,4,2
subj.16,Chomsky,m,Rottweiler,yes,17.12.2015,,1,self-ordered,2,,,4,2,8,6,5,4,2,1
subj.16,Chomsky,m,Rottweiler,yes,17.12.2015,,1,self-ordered,3,,,5,4,3,2,1,8,7,6
subj.16,Chomsky,m,Rottweiler,yes,17.12.2015,,2,forced,1,,,5,8,2,4,3,2,1,8
subj.16,Chomsky,m,Rottweiler,yes,17.12.2015,,2,forced,2,,,6,2,4,3,2,1,8,7
subj.16,Chomsky,m,Rottweiler,yes,17.12.2015,,2,forced,3,,,7,4,2,1,8,7,5,4
subj.42,Goofy2,m,Mix(GoldenRetriever),yes,14.01.2020,,1,forced,1,,,2,6,6,7,8,7,1,3
subj.42,Goofy2,m,Mix(GoldenRetriever),yes,14.01.2020,,1,forced,2,,,4,7,5,2,1,3,6,8
subj.42,Goofy2,m,Mix(GoldenRetriever),yes,14.01.2020,,1,forced,3,,,5,3,6,8,1,3,4,7
subj.42,Goofy2,m,Mix(GoldenRetriever),yes,14.01.2020,,2,self-ordered,1,,,1,7,2,5,1,6,4,6
subj.42,Goofy2,m,Mix(GoldenRetriever),yes,14.01.2020,,2,self-ordered,2,,,1,8,3,1,7,1,8,4
subj.42,Goofy2,m,Mix(GoldenRetriever),yes,14.01.2020,,2,self-ordered,3,,,1,7,2,5,6,8,1,3
subj.43,Mazekeen,f,KleinerMünsterländer,yes,10.09.2018,,1,forced,1,,,7,4,3,5,7,1,3,6
subj.43,Mazekeen,f,KleinerMünsterländer,yes,10.09.2018,,1,forced,2,,,5,1,2,5,7,2,6,7
subj.43,Mazekeen,f,KleinerMünsterländer,yes,10.09.2018,,1,forced,3,,,8,2,3,4,6,5,7,1
subj.43,Mazekeen,f,KleinerMünsterländer,yes,10.09.2018,,2,self-ordered,1,,,4,6,7,3,2,5,1,8
subj.43,Mazekeen,f,KleinerMünsterländer,yes,10.09.2018,,2,self-ordered,2,,,4,5,6,1,3,5,7,1
subj.43,Mazekeen,f,KleinerMünsterländer,yes,10.09.2018,,2,self-ordered,3,,,6,8,5,4,6,1,2,5
subj.58,Anubis3,m,ItalianGreyhound,no,15.04.2018,,1,self-ordered,1,,,5,4,3,1,3,2,3,5
