ID,Subject,trial_number,Trial start,1st choice,2nd choice,3rd choice,4th choice,5th choice,6th choice,7th choice,8th choice,9th choice,condition,first_error_position,return_to_arm,Lag_from_last_choice,adjacent_arms,total_mistakes
81,Gandalf,1,242.816609,252.0332735,280.1999335,289.7999312,309.1499266,316.049925,335.466587,343.0165852,352.7332496,#N/A,self-ordered,6,2,4,1,1
82,Gandalf,2,582.2831951,591.383193,603.0498569,623.549852,631.7665167,643.016514,651.2665121,658.8331769,667.0498417,#N/A,self-ordered,7,2,5,2,1
83,Gandalf,3,776.0164825,791.0664789,797.4664774,803.6331426,810.1498077,818.483139,824.3331377,831.4998026,839.0831342,847.4997988,self-ordered,8,1,7,2,1
84,Gandalf,4,934.5164448,937.2497775,944.883109,952.6497739,959.7664388,965.8164374,974.483102,980.4331006,987.283099,993.9664307,forced,6,1,5,2,1
85,Gandalf,5,1089.683075,1095.34974,1104.216405,1111.533069,1117.849735,1124.0664,1128.983065,1135.933064,1142.166396,#N/A,forced,4,1,3,3,2
86,Gandalf,6,1230.583041,1234.916374,1242.116372,1248.333037,1256.199702,1263.283033,1269.483032,1275.866364,1284.049695,1290.199694,forced,7,1,6,2,2
87,Goofy2,1,243.383223,253.0832186,265.5998796,278.5498737,289.4998688,306.0831946,318.7165222,330.3498502,343.0498445,#N/A,forced,6,3,3,0,1
88,Goofy2,2,436.3331355,445.499798,456.8331262,476.399784,487.1664458,501.1331061,510.1331021,521.1164304,530.9830926,536.5497568,forced,3,1,2,0,4
89,Goofy2,3,630.3830476,633.0163797,643.2997084,663.999699,669.6163631,684.3163564,692.7663526,706.0996799,715.8996754,#N/A,forced,3,1,2,1,2
90,Goofy2,4,801.9496364,812.3496317,821.6662942,827.2329583,834.0662885,839.9996192,853.4662798,860.3329433,869.6829391,#N/A,self-ordered,4,1,3,0,1
91,Goofy2,5,953.6495677,970.54956,977.4662235,989.1662182,1001.049546,1022.966203,1038.099529,1044.099527,1052.816189,#N/A,self-ordered,3,1,2,1,3
92,Goofy2,6,1140.782816,1156.266142,1161.649473,1167.982804,1178.949466,1186.982795,1205.132787,1213.866116,1220.866113,1228.56611,self-ordered,7,1,6,1,2
93,Hero,1,299.5,314.5833333,348.5166667,376.7833333,414.0666667,433.8666667,479.0666667,490.9,506.5833333,#N/A,self-ordered,4,1,3,5,1
94,Hero,2,606.3833333,618.1333333,624.7666667,630.95,638.1166667,645.1333333,654.5333333,665.5666667,677.0666667,#N/A,self-ordered,9,#N/A,#N/A,7,0
95,Hero,3,764.5666667,775.4333333,781.35,788.7833333,795.2,810,816.8833333,827.2166667,836.1,843.15,self-ordered,8,1,7,3,1
96,Hero,4,1014.016667,1019.483333,1029,1042.566667,1049.166667,1058.05,1071.9,1079.883333,1086.283333,#N/A,forced,7,2,5,5,1
97,Hero,5,1178.95,1182.85,1195.716667,1210.133333,1215.916667,1222.466667,1235.266667,1242.283333,1254.016667,#N/A,forced,3,1,2,3,1
98,Hero,6,1343.083333,1349.483333,1361.366667,1375.45,1381.6,1390.233333,1398.783333,1406.316667,1415.783333,#N/A,forced,9,#N/A,#N/A,2,0
99,Honey,1,342.6332439,355.6332405,365.3665713,379.0332344,406.4165606,438.3998855,464.0998788,496.766537,561.4498534,#N/A,forced,8,1,7,2,1
100,Honey,2,649.9331637,656.0331621,663.2498268,670.7164916,693.149819,706.7664821,727.5664767,747.9164714,757.5664689,#N/A,forced,7,2,5,1,2
101,Honey,3,837.2497814,844.4164462,849.9831114,857.5664428,865.1164408,873.499772,881.7331031,891.3497673,899.5497651,#N/A,forced,7,3,4,4,2
102,Honey,4,976.5830784,984.349743,992.2164076,999.1164058,1006.78307,1021.3164,1029.033065,1037.166396,1044.916394,#N/A,self-ordered,8,1,7,6,1
103,Honey,5,1122.93304,1130.783038,1136.499703,1143.233035,1150.9497,1158.016364,1165.866362,1178.699692,1187.04969,#N/A,self-ordered,9,#N/A,#N/A,4,0
104,Honey,6,1261.833004,1269.499669,1276.033,1284.966331,1293.116329,1301.19966,1307.799659,1314.83299,1324.982987,#N/A,self-ordered,9,#N/A,#N/A,7,0
105,Io,1,331.2,346.25,368.0833333,393.05,412.95,434.25,458.3,472.7333333,488.1,#N/A,self-ordered,6,1,5,1,2
106,Io,2,594.95,605.1666667,610.6833333,619.1,625.65,636.7,642.0333333,648.8666667,658.6,#N/A,self-ordered,5,3,2,1,3
107,Io,3,772.35,784.2833333,790.1166667,796.6666667,810,821.3666667,828.4166667,836.3666667,849.25,855.9,self-ordered,8,4,4,3,1
108,Io,4,1027.583333,1044.95,1053.316667,1063.5,1067.933333,1072.366667,1078.816667,1084.6,1094.883333,1099.983333,forced,6,2,4,1,2
109,Io,5,1181.1,1199.733333,1211.7,1222.133333,1226,1233.366667,1236.183333,1245.566667,1251.966667,1255.683333,forced,7,1,6,2,2
110,Io,6,1343.25,1360.466667,1364.083333,1376.05,1383.666667,1387.266667,1393.383333,1399.116667,1403.333333,1409.083333,forced,5,1,4,2,1
111,Jay2,1,424,437.5833333,448.05,490.65,512.1833333,536.7,575.65,593.5333333,606.1,652.6166667,self-ordered,8,4,4,2,1
112,Jay2,2,746.0333333,782.1666667,894.8,930.75,998.6,1015.2,1050.216667,1068.4,1111.016667,#N/A,self-ordered,7,1,6,1,2
113,Jay2,3,1230.216667,1309.566667,1322.383333,1355.083333,1396.066667,1502.516667,1544.583333,1587.016667,1639.55,#N/A,self-ordered,5,1,4,3,1
114,Jay2,4,1815.033333,1824.283333,1837.483333,1859.816667,1873,1895.95,1906.183333,1921.066667,1939.016667,1974.733333,forced,3,2,1,2,2
115,Jay2,5,2078.383333,2089.55,2108.483333,2136.116667,2149.883333,2161.533333,2175.716667,2191.466667,2220.066667,#N/A,forced,4,1,3,2,2
116,Jay2,6,2308.366667,2321.583333,2328.65,2368.716667,2383.183333,2403.05,2414.033333,2455.966667,2483.583333,#N/A,forced,7,5,2,1,2
117,Jimi,1,250.1833333,261.4666667,281.8666667,286.8333333,293.8833333,310.4,320.0666667,335.4333333,#N/A,#N/A,forced,6,4,2,1,1
118,Jimi,2,427.75,436.8333333,441.5833333,452.5333333,458.85,467.2333333,481.9166667,489.55,496.05,#N/A,forced,7,3,4,1,2
119,Jimi,3,590.9166667,594.7166667,603.8,617.1,621.7833333,630.3333333,636.1833333,644.35,657.9666667,#N/A,forced,7,3,4,0,2
120,Jimi,4,746.2833333,753.8333333,758.0333333,763.5,768.8333333,774.0833333,780.7666667,786.9666667,793.7666667,#N/A,self-ordered,7,1,6,3,2
121,Jimi,5,872.05,882.5333333,886.5166667,893.2333333,898.5,905.4,912.1833333,918.6166667,924.7833333,#N/A,self-ordered,6,1,5,2,2
122,Jimi,6,1015.616667,1023.7,1029.4,1034.966667,1043.216667,1047.816667,1055.266667,1060.883333,1069.116667,#N/A,self-ordered,8,2,6,2,1
123,Kito,1,537.2163127,545.1996407,562.1662962,581.3996169,614.3162619,626.266254,646.9162404,659.7662319,672.3662236,#N/A,self-ordered,9,#N/A,#N/A,7,0
124,Kito,2,768.7161601,775.6161556,777.482821,782.8828175,787.7828142,794.8661429,814.8661297,824.3161235,832.8161179,#N/A,self-ordered,6,4,2,3,2
125,Kito,3,923.1660583,925.1993903,931.1493864,937.4993822,942.2493791,947.0827093,951.7993728,958.132702,966.0493634,970.4326939,self-ordered,8,2,6,3,1
126,Kito,4,1145.249245,1150.232575,1156.282571,1167.132564,1169.932562,1174.682559,1178.76589,1182.699221,1187.815884,1192.182548,forced,6,3,3,2,2
127,Kito,5,1296.132479,1304.199141,1310.399137,1317.982465,1320.99913,1326.515793,1332.265789,1337.332452,1343.832448,1356.599106,forced,7,3,4,3,2
128,Kito,6,1449.165712,1453.715709,1456.94904,1462.649036,1466.8157,1470.582364,1474.899028,1479.699025,1484.049022,1488.649019,forced,9,#N/A,#N/A,5,0
129,Kukie,1,242.9666667,247.0833333,254.6166667,267.5166667,281.7666667,297.1833333,302.95,320.6833333,329.2666667,#N/A,forced,6,1,5,2,2
130,Kukie,2,417.0666667,439.1833333,447.7666667,453.9333333,465.0333333,471.4833333,476.7666667,485.1166667,490.1833333,#N/A,forced,5,1,4,1,2
131,Kukie,3,594.0166667,597.6833333,602.2833333,618.9166667,624.35,629.0833333,636.6,646.7833333,655.65,661.55,forced,7,3,4,1,1
132,Kukie,4,752.7833333,760.5666667,767.3166667,774.05,778.7833333,785.5833333,791.8,798.0833333,803.15,809.6166667,self-ordered,6,1,5,2,1
133,Kukie,5,884.95,892,902.6,909.0833333,913.6333333,919.6833333,932.0666667,936.1166667,943.9,953.0166667,self-ordered,3,1,2,0,2
134,Kukie,6,1020.9,1028.316667,1036.266667,1038.133333,1043.9,1052.783333,1055.716667,1064.733333,1073.75,1078.283333,self-ordered,6,1,5,1,2
135,Lea3,2,789.0333333,796.75,804.4833333,818.8833333,829.6166667,836.95,845.7166667,854.7,861.2166667,#N/A,forced,8,3,5,1,1
136,Lea3,3,972.15,979.6833333,988.0333333,998.95,1009.1,1015.666667,1025.816667,1034.316667,1042.083333,#N/A,forced,5,2,3,1,2
137,Lea3,4,1141.383333,1154.416667,1158.45,1163.416667,1169.183333,1180,1187.383333,1194.683333,1202.916667,1210.033333,self-ordered,4,1,3,2,2
138,Lea3,5,1285.516667,1298.1,1302.616667,1308.316667,1313.133333,1319.233333,1324.95,1330.65,1338.75,1345.283333,self-ordered,6,1,5,3,2
139,Lea3,6,1415.383333,1424.75,1428.55,1432.966667,1437.65,1443.066667,1448.216667,1454.1,1460.066667,1467.833333,self-ordered,7,1,6,2,1
140,Lenny4,1,241.9666038,253.7832674,281.1499269,314.6499182,352.6832417,373.4499029,411.0332265,420.483224,451.433216,#N/A,self-ordered,3,1,2,1,2
141,Lenny4,2,569.549852,576.0665169,579.7998493,585.1998479,594.2331789,599.3165109,612.0331742,618.2831726,623.0165047,629.566503,self-ordered,5,1,4,2,4
142,Lenny4,3,723.299812,730.5664768,734.9664756,739.3831411,743.9831399,748.6831387,754.5998039,759.2998026,763.4331349,768.316467,self-ordered,5,2,3,1,3
143,Lenny4,4,893.9997676,904.6830982,913.0164293,917.033095,922.166427,928.3497587,932.5997576,936.1664233,941.5997552,946.3830873,forced,6,3,3,2,3
144,Lenny4,5,1049.533061,1055.566392,1066.916389,1071.783055,1076.816387,1080.366386,1084.049718,1088.73305,1094.383049,#N/A,forced,6,3,3,1,3
145,Lenny4,6,1185.733025,1193.883023,1200.216355,1202.216354,1206.449686,1209.783019,1213.183018,1216.733017,1223.549682,1226.783014,forced,5,2,3,0,4
146,Lexi3,1,1391.265791,1400.282452,1415.749109,1431.615766,1457.915749,1472.299074,1487.399064,1506.565719,1525.232374,#N/A,forced,6,1,5,4,2
147,Lexi3,2,0,1.616666144,13.28332904,23.81665897,31.63332311,50.6166503,62.0666466,86.64997199,#N/A,#N/A,forced,3,1,2,0,1
148,Lexi3,3,169.0332787,174.9332768,180.0166085,187.0832729,195.5666034,202.3999346,209.4499323,217.9332629,224.2999275,#N/A,forced,8,2,6,3,1
149,Lexi3,4,322.5665624,330.4498932,338.083224,346.5665546,351.9665529,359.0665506,365.2165486,375.5665453,384.4332091,#N/A,self-ordered,6,3,3,3,3
150,Lexi3,5,472.9998471,481.2331778,487.3165091,498.1665056,504.4831703,510.4331683,516.7998329,524.4831638,530.7164951,#N/A,self-ordered,4,2,2,2,1
151,Lexi3,6,621.849799,625.5164645,633.9164617,645.5997913,649.9997899,656.9664543,663.2997856,669.9664501,675.0997818,#N/A,self-ordered,5,2,3,2,2
152,Lilo3,1,407.9998293,416.4664924,431.5831528,448.6831456,467.1331379,486.6331297,497.4164586,505.7164551,513.8831183,#N/A,forced,4,2,2,4,2
153,Lilo3,4,967.5162619,974.9995921,980.0162567,989.2329195,995.182917,1005.382913,1014.332909,1019.249574,1024.749571,#N/A,self-ordered,8,1,7,4,1
154,Lilo3,5,1197.266166,1205.266162,1214.032825,1223.382822,1230.099485,1240.482814,1254.666142,1266.082804,1272.116134,#N/A,self-ordered,6,4,2,2,2
155,Lilo3,6,1356.866099,1363.19943,1368.582761,1381.332755,1386.716087,1393.149417,1397.366082,1404.016079,1411.882743,#N/A,self-ordered,3,1,2,3,1
156,Loki6,1,294.8666667,302.9666667,311.8166667,328.15,335.7833333,344.3166667,355.45,368.6333333,378.25,#N/A,forced,6,1,5,2,2
157,Loki6,2,463.7833333,464.5333333,475.6166667,484.9,492.5,502.0166667,512.9666667,522,535.85,#N/A,forced,5,1,4,1,3
158,Loki6,3,631.1833333,633.7833333,643.3333333,654.55,671.8666667,682.8166667,692.7166667,703.15,714.9,#N/A,forced,6,1,5,1,2
159,Loki6,4,809.5,815.45,821.9333333,830.0666667,838.9166667,846.7166667,859.7333333,871.5833333,882.5833333,#N/A,self-ordered,7,1,6,3,2
160,Loki6,5,963.2166667,972.55,983.25,990.5833333,996.1,1007.383333,1021.833333,1035.333333,1041.35,#N/A,self-ordered,5,1,4,2,1
161,Loki6,6,1129.2,1135.916667,1150.2,1164.6,1172.916667,1181.416667,1196.5,1211.85,1223.55,#N/A,self-ordered,4,2,2,1,1
162,Loki7,1,342.55,345.1833333,367.6166667,381.45,442.5666667,466.35,486.85,505.05,515.7333333,539.7833333,self-ordered,6,1,5,2,3
163,Loki7,2,646.25,646.9166667,651.9,667.7166667,676.5333333,684.4333333,697.1833333,706.05,715.0833333,#N/A,self-ordered,7,2,5,2,1
164,Loki7,3,799.2833333,800.2666667,806.6166667,813.2833333,821.5,829.0833333,837.1833333,844.55,850.2666667,#N/A,self-ordered,7,2,5,2,1
165,Loki7,4,1035.283333,1020.8,1029.1,1035.35,1040.166667,1044.85,1052.7,1058.216667,1064.733333,1070.7,forced,5,1,4,1,2
166,Loki7,5,1206.583333,1187.133333,1200.3,1209.616667,1214.2,1221.983333,1227.883333,1233.766667,1240.733333,1246.75,forced,5,1,4,1,2
167,Loki7,6,1366.15,1351.066667,1359.866667,1367.75,1372.716667,1376.7,1383.7,1388.85,#N/A,#N/A,forced,9,#N/A,#N/A,4,0
168,Lucy18,1,322.2,330.25,343.8833333,356.5,368.9333333,387.3166667,392.35,402.4,414.8666667,426.0333333,forced,3,2,1,2,3
169,Lucy18,2,553.6,558.2333333,570.5666667,586.4333333,598.7666667,608.45,615.0833333,621.8666667,629.85,#N/A,forced,5,1,4,5,1
170,Lucy18,3,724.5833333,729.8166667,737.6666667,748.55,754.0333333,763.6666667,770.3166667,780.9833333,790.1333333,795.6666667,forced,7,2,5,2,1
