ID,Subject,trial_number,Trial start,1st choice,2nd choice,3rd choice,4th choice,5th choice,6th choice,7th choice,8th choice,9th choice,condition,first_error_position,return_to_arm,Lag_from_last_choice,time_delay,return_delay,means,time_delay_adjusted,time_fe,time_fe_after,time_fe_before
49,Filou9,1,234.7666667,234.7666667,263.9833333,285.0833333,307.4333333,321.5166667,334.3166667,344.0333333,354.7,361.9833333,self-ordered,9,#N/A,#N/A,127.2166666,#N/A,14.99166666,8.485825456,#N/A,#N/A,#N/A
50,Filou9,2,465.1333333,465.4333333,469.0833333,474.1,478.0833333,483.9666667,489.3833333,493.1,497.7,501.6333333,self-ordered,7,1,6,27.6666667,27.6666667,4.070833338,6.796315252,4.6,4.6,3.7166667
51,Filou9,3,622.4166667,623.1666667,626.35,632.0333333,635.5333333,639.8,645.55,651.45,656.35,660.7666667,self-ordered,8,5,3,33.1833333,16.55,4.241666663,7.823182711,4.4166667,4.4166667,4.9
52,Filou9,4,820.4166667,806.7333333,813.7,820.4166667,824.5333333,828.15,832.7666667,836.3166667,843.6333333,847.0333333,forced,7,5,2,29.5833334,8.1666667,2.902083325,10.19382633,7.3166666,7.3166666,3.55
53,Filou9,5,976.1666667,958.1,967.0666667,976.1666667,979.7833333,984.1166667,987.9666667,991.8833333,995.6166667,999.7666667,forced,7,2,5,33.7833333,24.8166666,2.43125,13.89545843,3.7333334,3.7333334,3.9166666
54,Filou9,6,1116.683333,1106.333333,1111.083333,1116.683333,1120.416667,1124.95,1128.766667,1136,1141.416667,1145.466667,forced,5,1,4,18.616667,18.616667,3.09166675,6.021563288,3.816667,3.816667,4.533333
55,Freeda,1,359.65,368.7333333,393.5,421.4166667,439.8333333,463.5833333,477.2333333,508.1,528.3333333,#N/A,forced,6,3,3,108.5,55.8166666,21.08541666,5.145736588,30.8666667,30.8666667,13.65
56,Freeda,2,637.1,646.6333333,648.65,656.9166667,665.0166667,681.8,690.7833333,704.0833333,717.5333333,730.6166667,forced,6,3,3,44.15,33.8666666,10.05416666,4.391214258,13.3,13.3,8.9833333
57,Freeda,3,813.7,823.6166667,834.3166667,844.7666667,852.15,864.1333333,890.9333333,897.7833333,910.45,#N/A,forced,4,2,2,28.5333333,17.8333333,12.09375,2.359345389,11.9833333,11.9833333,7.3833333
58,Freeda,4,1031.15,1040.35,1050.783333,1062.95,1070.533333,1081.7,1088.233333,1096.366667,1107.166667,#N/A,self-ordered,3,1,2,22.6,22.6,9.502083375,2.378425773,7.583333,7.583333,12.166667
59,Freeda,5,1231.55,1237.433333,1250.883333,1260.766667,1266.383333,1272.583333,1279.733333,1285.6,1293.083333,#N/A,self-ordered,5,1,4,35.15,35.15,7.691666625,4.569880848,7.15,7.15,6.2
60,Freeda,6,1401.066667,1409.183333,1417.266667,1429.066667,1439,1445.433333,1452.8,1461.7,1467.95,1474.916667,self-ordered,4,1,3,29.816667,29.816667,8.360416625,3.566409228,6.433333,6.433333,9.933333
61,Gandalf,1,242.816609,252.0332735,280.1999335,289.7999312,309.1499266,316.049925,335.466587,343.0165852,352.7332496,#N/A,self-ordered,6,2,4,83.4333135,55.2666535,13.73958008,6.072479147,7.5499982,7.5499982,19.416662
62,Gandalf,2,582.2831951,591.383193,603.0498569,623.549852,631.7665167,643.016514,651.2665121,658.8331769,667.0498417,#N/A,self-ordered,7,2,5,67.4499839,55.78332,10.59583083,6.365709779,8.2166648,8.2166648,7.5666648
63,Gandalf,3,776.0164825,791.0664789,797.4664774,803.6331426,810.1498077,818.483139,824.3331377,831.4998026,839.0831342,847.4997988,self-ordered,8,1,7,48.0166553,48.0166553,7.883331463,6.090909095,8.4166646,8.4166646,7.5833316
64,Gandalf,4,934.5164448,937.2497775,944.883109,952.6497739,959.7664388,965.8164374,974.483102,980.4331006,987.283099,993.9664307,forced,6,1,5,37.2333245,37.2333245,6.595831775,5.644977885,5.9499986,5.9499986,8.6666646
65,Gandalf,5,1089.683075,1095.34974,1104.216405,1111.533069,1117.849735,1124.0664,1128.983065,1135.933064,1142.166396,#N/A,forced,4,1,3,22.499995,22.499995,6.560415125,3.429660253,6.216665,6.216665,6.316666
66,Gandalf,6,1230.583041,1234.916374,1242.116372,1248.333037,1256.199702,1263.283033,1269.483032,1275.866364,1284.049695,1290.199694,forced,7,1,6,40.94999,40.94999,6.68333175,6.127182,8.183331,8.183331,6.383332
67,Goofy2,1,243.383223,253.0832186,265.5998796,278.5498737,289.4998688,306.0831946,318.7165222,330.3498502,343.0498445,#N/A,forced,6,3,3,65.6333036,40.1666485,12.45832769,5.268227426,11.633328,11.633328,12.6333276
68,Goofy2,2,436.3331355,445.499798,456.8331262,476.399784,487.1664458,501.1331061,510.1331021,521.1164304,530.9830926,536.5497568,forced,3,1,2,30.899986,30.899986,11.83124464,2.611727417,10.7666618,10.7666618,19.5666578
69,Goofy2,3,630.3830476,633.0163797,643.2997084,663.999699,669.6163631,684.3163564,692.7663526,706.0996799,715.8996754,#N/A,forced,3,1,2,30.9833193,30.9833193,10.68957848,2.898460344,5.6166641,5.6166641,20.6999906
70,Goofy2,4,801.9496364,812.3496317,821.6662942,827.2329583,834.0662885,839.9996192,853.4662798,860.3329433,869.6829391,#N/A,self-ordered,4,1,3,21.7166568,21.7166568,8.466662838,2.564960625,5.9333307,5.9333307,6.8333302
71,Goofy2,5,953.6495677,970.54956,977.4662235,989.1662182,1001.049546,1022.966203,1038.099529,1044.099527,1052.816189,#N/A,self-ordered,3,1,2,18.6166582,18.6166582,12.39582766,1.501848744,11.8833278,11.8833278,11.6999947
